Name,Dealer,Mileage,Rating,Rating Count,Price,Stock Type
2014 Mercedes-Benz GLK-Class GLK 350,AutoNation USA Katy,47868 ,4.3,159 ,23883,Used
2021 Kia Telluride SX,Radley Cadillac,13635 ,4.8,450 ,58950,Used
2013 Lexus LX 570 Base,DCH Ford of Eatontown,88255 ,4.7,506 ,41600,Used
2016 Chevrolet Corvette Stingray Z51,North Park Chevrolet,14569 ,4.5,50 ,60245,Chevrolet Certified
2014 Land Rover Range Rover 5.0L Supercharged,Auto Buying Service,71284 ,4.8,135 ,36444,Used
2018 Ford Expedition Max Limited,Hyundai of Bedford,24311 ,4.4,494 ,55770,Used
2016 BMW X5 xDrive35i,WBM of Arlington,97599 ,3.7,153 ,29895,Used
2020 Acura MDX 3.5L Technology & A-Spec Pkgs,Bravo Chrysler Dodge Jeep RAM,13804 ,4.1,85 ,54955,Used
2019 Volvo XC60 T5 Momentum,Karp Volvo Buick Kia,31175 ,4.8,872 ,38388,Used
2020 Nissan Maxima 3.5 SV,Where Luxury Meets,22693 ,4.3,282 ,23905,Used
2019 Hyundai Santa Fe SE 2.4,Car Giants,55487 ,5.0,6 ,24592,Used
2015 GMC Sierra 2500 Denali,Westcott Automotive,62783 ,4.8,64 ,57980,Used
2017 Mercedes-Benz AMG SLC 43 Base,Mercedes-Benz of Clearwater,21960 ,4.5,338 ,50934,Used
2017 Chevrolet Equinox LT,Hertz Car Sales Phoenix Bell Rd,46911 ,4.8,22 ,20950,Used
2015 GMC Sierra 2500 Denali,Parks Buick GMC Kernersville,65721 ,4.8,"1,735 ",58717,Used
2007 Porsche Cayman S,Porsche Beachwood,41284 ,4.7,227 ,34990,Used
2016 Toyota Land Cruiser V8,Auto Web Expo,84428 ,4.6,677 ,65988,Used
2019 Toyota Highlander LE,Gene Gorman's Auto Sales,45946 ,4.6,233 ,34988,Used
2018 Ford F-150 Lariat,Ohio Auto Warehouse,56187 ,4.6,168 ,46995,Used
2015 Honda Accord EX-L,Shift San Francisco,49647 ,3.7,129 ,21350,Used
2017 Kia Sportage LX,Jack Burford Chevrolet,11289 ,4.5,143 ,20000,Used
2020 Dodge Durango GT,Russ Darrow Chrysler Dodge Jeep RAM,64341 ,4.6,"1,034 ",36595,Used
2019 Honda CR-V EX,Zeigler Honda,20646 ,4.6,149 ,31800,Used
2019 Mercedes-Benz C-Class C 300 4MATIC,Mercedes-Benz of Asheville,27315 ,4.1,76 ,58675,Mercedes-Benz Certified
2020 Honda Accord Sport 1.5T,Jim Coleman Honda,12109 ,4.7,"2,141 ",30497,Used
2020 Jeep Wrangler Unlimited Rubicon,Advantage Auto Direct,16382 ,4.7,53 ,56900,Used
2011 Nissan Pathfinder Silver,Capital Nissan of Wilmington,164541 ,4.6,237 ,11491,Used
2013 Mercedes-Benz E-Class E 350 4MATIC,Drive Park Avenue - Atlantic City,73075 ,1.3,1 ,18495,Used
2020 Mercedes-Benz GLE 350 Base 4MATIC,Ultimo Motors East,18130 ,4.3,139 ,73900,Used
2020 Ford Expedition Limited,Pilson Auto Center,16417 ,4.7,466 ,68500,Used
2018 BMW X2 sDrive28i,Toyota of Tampa Bay on Fletcher,33666 ,4.8,"3,074 ",30913,Used
2019 BMW 530e iPerformance,Auto Web Expo,30517 ,4.6,677 ,41962,Used
2017 Jeep Grand Cherokee SRT,Crossroads Hyundai of Loveland,34467 ,4.2,270 ,59497,Used
2013 Honda Civic EX,Elite Auto Gallery,11364 ,4.2,5 ,23950,Used
2015 Acura MDX 3.5L Technology Package,Auto Boutique,85883 ,4.6,485 ,23000,Used
2019 Volvo XC90 T6 Inscription,Ourisman Volvo Audi of Frederick,25612 ,4.3,119 ,58000,Used
2015 BMW 320 i,NEXCAR,61891 ,5.0,1 ,17495,Used
2015 GMC Yukon XL Denali,Harper Maserati,82418 ,4.6,43 ,41990,Used
2016 Mazda MX-5 Miata Grand Touring,CarShop Glen Mills,19527 ,5.0,61 ,26549,Used
2019 Chevrolet Equinox 2LT,Bergstrom Chevrolet of Middleton,33202 ,3.9,62 ,27393,Used
2021 RAM 1500 Big Horn,Coughlin GM of Newark,10552 ,4.7,186 ,50994,Used
2019 Ford F-150 Platinum,Fort Mill Ford,17041 ,4.4,543 ,54887,Used
2017 Ford Escape Titanium,Shaheen Chevrolet,71424 ,4.8,889 ,22000,Used
2020 Hyundai Palisade Limited,231 Car Sales,26794 ,4.3,2 ,48746,Used
2018 Mazda Mazda3 Touring,Selective Autoplex,23283 ,4.6,55 ,25896,Used
2016 Acura RDX Advance Package,Rosenthal Acura,64617 ,4.5,267 ,25995,Used
2019 BMW 430 i xDrive,BM Motorcars,37806 ,4.5,"1,293 ",35795,Used
2020 RAM 1500 Limited,Ourisman Chrysler Dodge Jeep Ram - Curbside pickup and home delivery available,31628 ,4.7,"1,096 ",58595,RAM Certified
2018 Toyota Tundra Limited,Dealer Network Trade,25010 ,5.0,1 ,47990,Used
2007 Lexus RX 400h ,AutoNation Toyota Hayward,96275 ,4.4,764 ,12385,Used
2020 Land Rover Defender 110 First Edition,Jaguar Land Rover West Houston,22889 ,4.2,61 ,79993,Used
2017 BMW 328d Base,Luxury Motors Florida,34500 ,2.0,4 ,18900,Used
2018 BMW 328d xDrive,BMW Portland,38073 ,4.8,"1,044 ",34999,Used
2013 Maserati GranTurismo Sport,RPM Garage,56148 ,3.5,8 ,49991,Used
2018 Toyota RAV4 Limited,Toyota of Lincoln Park,26495 ,4.2,222 ,31900,Toyota Certified
2017 Cadillac Escalade ESV Standard,Auto Buying Service,85011 ,4.8,135 ,36444,Used
2020 Ford Edge Titanium,Five Star Ford,12653 ,4.9,"7,739 ",38000,Used
2020 GMC Sierra 1500 AT4,Volkswagen of Inver Grove,22653 ,4.9,745 ,60460,Used
2018 Toyota RAV4 Hybrid Limited,Shift Los Angeles,37226 ,4.0,84 ,31500,Used
2021 Mazda CX-5 Carbon Edition Turbo,Greg Hubler Buick GMC,10979 ,n/a,n/a,38000,Used
2017 Mercedes-Benz C-Class C 300,AutoNation Acura Stevens Creek,45213 ,4.7,811 ,42381,Used
2013 Toyota Land Cruiser V8,Broadway Auto Mall,123431 ,3.2,14 ,39980,Used
2018 Porsche Macan S,Russell Westbrook Chrysler Dodge Jeep Ram of Van Nuys,30451 ,4.3,"3,756 ",57000,Used
2019 Toyota 4Runner Limited,Stevinson Lexus of Frederick,23145 ,4.9,923 ,46000,Used
2018 BMW M5 Base,eCarOne,19077 ,4.8,"1,724 ",85950,Used
2019 Lincoln Navigator Reserve,South Shore Mitsubishi,16918 ,1.0,5 ,72152,Used
2020 BMW X5 xDrive40i,Paul Miller BMW,15207 ,4.9,680 ,62998,Used
2018 Mercedes-Benz C-Class C 300 4MATIC,Auto Buying Service,25679 ,4.8,135 ,26444,Used
2021 Kia Telluride SX,AutoSavvy Fort Worth,5928 ,2.6,5 ,46000,Used
2017 Subaru Outback 3.6R Limited,Shift San Francisco,33242 ,3.7,129 ,29950,Used
2020 Jeep Grand Cherokee Limited,Naples Chrysler Dodge Jeep Ram,23548 ,4.3,"1,156 ",46428,Jeep Certified
2018 Subaru WRX STI Base,AutoSavvy Colorado Springs,46182 ,4.6,107 ,30800,Used
2017 Land Rover Range Rover Evoque SE Premium,Brown's Chantilly Mazda,27380 ,4.8,439 ,36975,Used
2020 GMC Sierra 1500 SLT,Williams Used Cars & Trucks,16017 ,4.6,79 ,57998,Used
2018 BMW M550 i xDrive,Autobahn USA,16781 ,4.8,"1,770 ",64540,Used
2016 Toyota 4Runner SR5 Premium,Beck & Masten North,61909 ,4.6,"1,201 ",34863,Used
2021 Ford Ranger XLT,EchoPark Automotive Knoxville Delivery Center,24084 ,3.2,12 ,37599,Used
2021 Volvo XC40 T5 R-Design,BMW of Columbia,16535 ,4.7,889 ,45498,Used
2018 Jeep Wrangler Unlimited Sahara,Furrst Class Cars,47965 ,4.1,38 ,46999,Used
2013 INFINITI G37 Journey,Audi Fort Lauderdale,21057 ,4.8,640 ,19981,Used
2019 Volvo XC60 T5 Momentum,"Tom Masano, Inc.",11528 ,3.6,48 ,43436,Used
2021 Toyota 4Runner Limited,Brown's Honda City,15565 ,4.8,"1,914 ",52995,Used
2019 Volvo XC60 T5 Momentum,Volvo Cars Manhattan,19596 ,3.3,7 ,40995,Used
2019 GMC Sierra 1500 Limited Base,Randy Wise Buick GMC,40493 ,4.8,798 ,33220,Used
2018 Audi A5 2.0T Premium,Autos of Dallas,25955 ,4.3,"1,294 ",37880,Used
2018 Lexus RX 350 350,Lincoln of Bloomington,17587 ,4.5,532 ,44491,Used
2019 Chevrolet Cruze LT,Legend Autohaus,23677 ,4.4,15 ,15999,Used
2020 Toyota Camry LE,Great Neck Motorsports,59010 ,4.3,143 ,18990,Used
2020 Honda Accord Sport 1.5T,European Motors,19943 ,4.4,199 ,27950,Used
2015 Honda Odyssey EX-L,Power On Auto,79483 ,4.6,14 ,19997,Used
2016 Lexus GS 350 Base,Elite Auto Mall,75578 ,3.8,6 ,29995,Used
2019 Volvo XC90 T6 Inscription,Ourisman Volvo Audi of Frederick,24295 ,4.3,119 ,58400,Used
2017 Nissan Rogue SL,Walser Nissan Wayzata,80176 ,4.5,476 ,22998,Used
2019 Volvo XC60 T5 Momentum,Sky Motor Cars,35151 ,4.9,601 ,39880,Used
2020 Acura TLX FWD,Jay Wolfe Acura,16841 ,4.8,"2,391 ",32100,Acura Certified
